mb_title,tmdb_title,score,reasons,final_decision
La Bostella,La bostella,110.0,"['fuzzy:100.0', 'substring']",strong
Highway Lost,Lost Highway,105.0,"['fuzzy:38.095238095238095', 'genre_bonus']",strong
The Lost Tapes,VIY: The Lost Tapes,94.84848484848484,"['fuzzy:84.84848484848484', 'substring']",strong
Hamilton: Original Motion Picture Soundtrack,Hamilton,115.0,"['fuzzy:48.484848484848484', 'substring']",strong
Almost the Same,Almost the Same Age,98.23529411764706,"['fuzzy:88.23529411764706', 'substring']",strong
Almost Invisible,Almost Invisible,110.0,"['fuzzy:100.0', 'substring']",strong
The Lost,The Lost,115.0,"['fuzzy:61.53846153846154', 'substring', 'genre_bonus']",strong
Land of the Lost,Land of the Lost,110.0,"['fuzzy:89.65517241379311', 'genre_bonus']",strong
Ghosts,Ghosts,115.0,['fuzzy:33.333333333333336'],strong
Nostalgia,Nostalgia,115.0,"['fuzzy:100.0', 'substring', 'genre_bonus']",strong
Lost Paradise,Lost Paradise,115.0,"['fuzzy:72.22222222222221', 'genre_bonus']",strong
Almost In,Almost in Love,93.26086956521739,['fuzzy:76.19047619047619'],strong
The Soundtrack To Life,The Man Who Returned to Life,61.41025641025641,['fuzzy:34.375'],loose
Little Girl Lost,You're Lost Little Girl,87.05128205128204,"['fuzzy:82.05128205128204', 'genre_bonus']",loose
While She Was Out (Original Motion Picture Soundtrack),While She Was Out,115.0,"['fuzzy:100.0', 'substring', 'genre_bonus']",strong
Arcadia Lost,Arcadia Lost,115.0,"['fuzzy:100.0', 'substring', 'genre_bonus']",strong
Ghosts,Ghosts,115.0,['fuzzy:33.333333333333336'],strong
Ghost Town,Ghost Town,115.0,"['fuzzy:74.07407407407408', 'substring']",strong
Lost Highway,Lost Highway,115.0,"['fuzzy:52.17391304347826', 'substring', 'genre_bonus']",strong
something lost.,Is There Something Else I’ve Lost?,58.33333333333333,['fuzzy:25.0'],loose
Almost the Same,Almost the Same Age,98.23529411764706,"['fuzzy:88.23529411764706', 'substring']",strong
Lost Dreams (The New Orleans Vocal Groups),Lost dreams,115.0,['fuzzy:28.947368421052634'],strong
Bull Durham: Original Motion Picture Soundtrack,Bull Durham,110.0,"['fuzzy:100.0', 'substring']",strong
Lost Harmony,Lost Harmony,110.0,"['fuzzy:58.53658536585367', 'genre_bonus']",strong
Bad Moon: Original Motion Picture Soundtrack,Bad Moon,115.0,"['fuzzy:70.58823529411764', 'genre_bonus']",strong
Lost and Found,Lost and Found,115.0,"['fuzzy:100.0', 'substring', 'genre_bonus']",strong
The Most Beautiful,The Most Beautiful,115.0,"['fuzzy:85.71428571428572', 'substring', 'genre_bonus']",strong
Lost and Found,Lost and Found,115.0,"['fuzzy:100.0', 'substring', 'genre_bonus']",strong
The Ghost of Time,The Time of Their Lives,65.0,['fuzzy:65.0'],loose
Thinner: Original Motion Picture Soundtrack,Thinner,110.0,"['fuzzy:100.0', 'substring']",strong
Litost,Litost,110.0,"['fuzzy:21.052631578947366', 'genre_bonus']",strong
Photos of Ghosts,Ghost Photos,85.71428571428572,['fuzzy:31.46067415730337'],loose
Postcards From the Edge,Postcards from the Edge,115.0,"['fuzzy:100.0', 'substring', 'genre_bonus']",strong
Lost Properties,Heaven's Lost Property the Movie: The Angeloid of Clockwork,35.13513513513513,['fuzzy:34.210526315789465'],loose
Almost There,Almost There,115.0,['fuzzy:59.25925925925925'],strong
Things We Lost in the Fire,Things We Lost in the Fire,115.0,"['fuzzy:100.0', 'substring', 'genre_bonus']",strong
Ghost of a Dog,The Dogsitter (Now That I’m a Ghost),53.0,"['fuzzy:22.413793103448278', 'overview_penalty']",loose
Lost Tracks,Lost Tracks,110.0,"['fuzzy:100.0', 'substring']",strong
Black Mesa: Soundtrack,Outcasts of Black Mesa,72.5,"['fuzzy:32.786885245901644', 'substring']",loose
Ghosts,Ghosts,115.0,['fuzzy:33.333333333333336'],strong
